,id,duration_months,credit_amount,installment_rate,present_residence_since,age_years,number_existing_credits,checking_status,credit_history,purpose,savings_account,present_employment_since,debtors_guarantors,property,installment_plans,housing,job,number_people_liable,telephone,foreign_worker,gender,label_value,score
0,809,15,1778,2,1,26,2,A12,A30,A40,A61,A72,A101,A121,A143,A151,A171,1,A191,A201,female,1,1
1,265,15,802,4,3,37,1,A12,A32,A43,A61,A75,A101,A123,A143,A152,A173,2,A191,A201,male,1,1
2,858,15,3959,3,2,29,1,A11,A32,A40,A61,A73,A101,A122,A143,A152,A173,1,A192,A201,female,1,1
3,962,15,3556,3,2,29,1,A14,A32,A40,A65,A73,A101,A124,A143,A152,A173,1,A191,A201,male,0,0
4,985,15,1433,4,3,25,2,A11,A34,A42,A61,A73,A101,A122,A143,A151,A173,1,A191,A201,female,0,1
5,132,15,2708,2,3,27,2,A14,A32,A42,A61,A72,A101,A122,A141,A152,A172,1,A191,A201,male,0,0
6,908,15,3594,1,2,46,2,A14,A33,A41,A61,A72,A101,A122,A143,A152,A172,1,A191,A201,female,0,0
7,224,15,4657,3,2,30,1,A14,A32,A41,A61,A73,A101,A123,A143,A152,A173,1,A192,A201,male,0,0
8,632,15,1444,4,1,23,1,A12,A32,A43,A65,A72,A101,A122,A143,A152,A173,1,A191,A201,male,0,0
9,967,15,3568,4,2,54,1,A14,A32,A43,A61,A75,A101,A123,A141,A151,A174,1,A192,A201,female,0,0
10,537,18,3612,3,4,37,1,A12,A34,A42,A61,A75,A101,A122,A143,A152,A173,1,A192,A201,female,0,0
11,387,18,7374,4,4,40,2,A12,A34,A42,A61,A71,A101,A122,A142,A152,A174,1,A192,A201,male,0,1
12,106,18,6458,2,4,39,2,A14,A31,A40,A61,A75,A101,A124,A141,A152,A174,2,A192,A201,male,1,1
13,371,18,6070,3,4,33,2,A14,A34,A43,A61,A75,A101,A123,A143,A152,A173,1,A192,A201,male,0,0
14,950,18,3590,3,3,40,3,A12,A34,A49,A61,A71,A101,A123,A143,A152,A171,2,A192,A201,male,0,0
15,842,18,1943,4,4,23,1,A14,A32,A45,A61,A72,A101,A121,A143,A152,A173,1,A191,A201,female,1,0
16,276,18,2404,2,2,26,2,A14,A34,A43,A61,A73,A101,A123,A143,A152,A173,1,A191,A201,female,0,0
17,727,18,1882,4,4,25,2,A11,A32,A43,A61,A73,A101,A123,A141,A151,A173,1,A191,A201,female,1,1
18,58,18,1961,3,2,23,1,A13,A32,A40,A61,A75,A101,A123,A143,A152,A174,1,A191,A201,female,0,1
19,86,18,1295,4,1,27,2,A12,A34,A42,A61,A72,A101,A122,A143,A152,A173,1,A191,A201,female,0,1
20,920,18,1817,4,2,28,2,A14,A34,A42,A61,A73,A101,A124,A143,A152,A173,1,A191,A201,female,0,0
21,827,18,4165,2,2,36,2,A14,A30,A49,A61,A73,A101,A123,A142,A152,A173,2,A191,A201,male,1,0
22,464,18,1950,4,1,34,2,A14,A32,A49,A61,A74,A101,A123,A142,A152,A173,1,A192,A201,male,0,0
23,777,18,3509,4,1,25,1,A11,A32,A43,A61,A74,A103,A121,A143,A152,A173,1,A191,A201,female,0,1
24,588,18,1217,4,3,47,1,A11,A32,A44,A61,A73,A101,A121,A143,A152,A172,1,A192,A201,male,1,1
25,801,18,1795,3,4,48,2,A12,A34,A43,A61,A75,A103,A121,A141,A151,A172,1,A192,A201,female,0,0
26,404,18,2899,4,4,43,1,A12,A33,A40,A65,A75,A101,A123,A143,A152,A173,2,A191,A201,male,0,1
27,850,20,2235,4,2,33,2,A11,A34,A40,A61,A73,A103,A122,A141,A151,A173,1,A191,A202,male,1,1
28,99,20,7057,3,4,36,2,A12,A33,A41,A65,A74,A101,A122,A141,A151,A174,2,A192,A201,male,0,1
29,901,20,3485,2,4,44,2,A14,A34,A40,A65,A72,A101,A121,A143,A152,A173,1,A192,A201,male,0,0
30,341,21,3599,1,4,26,1,A11,A32,A42,A61,A74,A101,A123,A143,A151,A172,1,A191,A201,female,0,1
31,772,21,3275,1,4,36,1,A14,A34,A41,A61,A75,A101,A123,A143,A152,A174,1,A192,A201,male,0,0
32,620,21,3652,2,3,27,2,A12,A34,A49,A61,A74,A101,A122,A143,A152,A173,1,A191,A201,male,0,0
33,841,21,2993,3,2,28,2,A14,A33,A41,A61,A73,A101,A121,A142,A152,A172,1,A191,A201,male,0,0
34,612,21,3357,4,2,29,1,A11,A32,A43,A64,A72,A101,A123,A141,A152,A173,1,A191,A201,female,0,1
35,182,21,1647,4,2,40,2,A11,A31,A40,A65,A73,A101,A122,A143,A152,A172,2,A191,A201,male,1,1
36,930,24,1747,4,1,24,1,A11,A32,A42,A61,A72,A102,A122,A143,A152,A172,1,A191,A202,male,0,1
37,406,24,2197,4,4,43,2,A14,A34,A41,A65,A74,A101,A123,A143,A152,A173,2,A192,A201,male,0,0
38,565,24,1553,3,2,23,2,A12,A33,A43,A62,A74,A101,A122,A143,A151,A173,1,A192,A201,female,0,0
39,794,24,3062,4,3,32,1,A14,A32,A42,A63,A75,A101,A124,A143,A151,A173,1,A192,A201,male,0,0
40,169,24,1935,4,4,31,2,A12,A34,A49,A61,A75,A101,A121,A143,A152,A173,1,A192,A201,male,1,0
41,881,24,9277,2,4,48,1,A14,A32,A41,A65,A73,A101,A124,A143,A153,A173,1,A192,A201,male,0,0
42,594,24,1358,4,3,40,1,A11,A31,A410,A65,A75,A101,A123,A142,A152,A174,1,A192,A201,male,1,1
43,606,24,4526,3,2,74,1,A14,A34,A49,A61,A73,A101,A121,A143,A152,A174,1,A192,A201,male,0,0
44,80,24,5943,1,1,44,2,A14,A32,A43,A65,A72,A101,A123,A143,A152,A173,1,A192,A201,female,1,0
45,248,24,1925,2,2,26,1,A13,A32,A42,A61,A73,A101,A121,A143,A152,A173,1,A191,A201,male,0,0
46,19,24,3430,3,2,31,1,A14,A32,A43,A63,A75,A101,A123,A143,A152,A173,2,A192,A201,male,0,0
47,838,24,2957,4,4,63,2,A11,A34,A41,A61,A75,A101,A122,A143,A152,A173,1,A192,A201,male,0,0
48,949,24,3621,2,4,31,2,A14,A32,A43,A62,A75,A101,A123,A143,A152,A173,1,A191,A201,male,1,0
49,591,24,1965,4,4,42,2,A12,A33,A40,A65,A73,A101,A123,A143,A151,A173,1,A192,A201,female,0,1
50,465,24,2924,3,4,63,1,A11,A32,A41,A61,A73,A103,A124,A141,A152,A173,2,A192,A201,male,0,1
51,541,24,2032,4,4,60,2,A14,A33,A40,A61,A75,A101,A124,A143,A153,A173,1,A192,A201,male,0,0
52,730,24,6403,1,2,33,1,A12,A33,A43,A61,A72,A101,A123,A143,A152,A173,1,A191,A201,male,0,1
53,791,24,6313,3,4,41,1,A14,A32,A41,A65,A75,A101,A123,A143,A152,A174,2,A192,A201,male,0,0
54,833,24,5084,2,4,42,1,A12,A32,A43,A65,A75,A101,A123,A143,A152,A173,1,A192,A201,female,0,0
55,455,24,2679,4,1,29,1,A14,A32,A41,A61,A72,A101,A124,A143,A152,A174,1,A192,A201,female,0,0
56,256,24,2684,4,2,35,2,A14,A34,A43,A61,A73,A101,A121,A143,A152,A172,1,A191,A201,male,0,0
57,665,24,6314,4,2,27,2,A14,A34,A410,A61,A71,A102,A124,A141,A152,A174,1,A192,A201,male,0,0
58,355,24,1246,4,2,23,1,A12,A32,A40,A61,A72,A101,A121,A142,A152,A172,1,A191,A201,male,1,1
59,670,24,4139,3,3,27,2,A14,A34,A49,A62,A73,A101,A122,A143,A152,A172,1,A192,A201,male,0,0
60,561,24,1546,4,4,24,1,A11,A31,A43,A61,A74,A103,A123,A141,A151,A172,1,A191,A201,male,1,1
61,597,24,4241,1,4,36,3,A12,A30,A49,A61,A73,A101,A121,A143,A152,A172,1,A192,A201,male,1,0
62,988,24,6579,4,2,29,1,A11,A32,A41,A61,A71,A101,A124,A143,A153,A174,1,A192,A201,male,0,1
63,692,24,2896,2,1,29,1,A12,A32,A43,A62,A72,A101,A123,A143,A152,A173,1,A191,A201,male,0,0
64,959,24,3069,4,4,30,1,A12,A32,A42,A62,A75,A101,A124,A143,A153,A173,1,A191,A201,male,0,1
65,775,24,1371,4,4,25,1,A11,A32,A40,A65,A73,A101,A121,A143,A151,A173,1,A191,A201,female,1,1
66,572,24,5433,2,4,26,1,A14,A32,A41,A65,A71,A101,A122,A143,A151,A174,1,A192,A201,female,0,0
